ano_ocorrencia,mes_ocorrencia,distrito_geosampa,subtracoes_total,roubos,furtos
2025,5,GUAIANASES,133,62,71
2025,5,IGUATEMI,63,38,25
2025,5,IPIRANGA,170,69,101
2025,5,ITAIM BIBI,307,80,227
2025,5,ITAIM PAULISTA,127,75,52
2025,5,ITAQUERA,153,77,76
2025,5,JABAQUARA,127,59,68
2025,5,JACANA,38,23,15
2025,5,JAGUARA,32,12,20
2025,5,JAGUARE,36,15,21
2025,5,JARAGUA,75,47,28
2025,5,JARDIM ANGELA,218,171,47
2025,5,JARDIM HELENA,36,23,13
2025,5,JARDIM PAULISTA,163,52,111
2025,5,JARDIM SAO LUIS,163,102,61
2025,5,JOSE BONIFACIO,61,31,30
2025,5,LAJEADO,81,59,22
2025,5,LAPA,160,45,115
2025,5,LIBERDADE,204,50,154
2025,5,LIMAO,98,40,58
2025,5,MANDAQUI,43,12,31
2025,5,MARSILAC,4,2,2
2025,5,MOEMA,173,46,127
2025,5,MOOCA,89,24,65
2025,5,MORUMBI,102,20,82
2025,5,PARELHEIROS,61,39,22
2025,5,PARI,116,21,95
2025,5,PARQUE DO CARMO,46,20,26
2025,5,PEDREIRA,55,37,18
2025,5,PENHA,67,32,35
2025,5,PERDIZES,154,37,117
2025,5,PERUS,69,22,47
2025,5,PINHEIROS,356,98,258
2025,5,PIRITUBA,94,44,50
2025,5,PONTE RASA,24,16,8
2025,5,RAPOSO TAVARES,40,29,11
2025,5,REPUBLICA,536,143,393
2025,5,RIO PEQUENO,59,41,18
2025,5,SACOMA,129,82,47
2025,5,SANTA CECILIA,197,63,134
2025,5,SANTANA,219,54,165
2025,5,SANTO AMARO,258,71,187
2025,5,SAO DOMINGOS,35,19,16
2025,5,SAO LUCAS,47,32,15
2025,5,SAO MATEUS,111,69,42
2025,5,SAO MIGUEL,101,31,70
2025,5,SAO RAFAEL,46,31,15
2025,5,SAPOPEMBA,91,67,24
2025,5,SAUDE,126,78,48
2025,5,SE,389,86,303
2025,5,SOCORRO,41,16,25
2025,5,TATUAPE,187,66,123
2025,5,TREMEMBE,74,30,44
2025,5,TUCURUVI,60,23,37
2025,5,VILA ANDRADE,56,32,24
2025,5,VILA CURUCA,88,45,43
2025,5,VILA FORMOSA,50,18,32
2025,5,VILA GUILHERME,86,14,72
2025,5,VILA JACUI,78,44,34
2025,5,VILA LEOPOLDINA,47,12,35
2025,5,VILA MARIA,85,44,41
2025,5,VILA MARIANA,246,74,172
2025,5,VILA MATILDE,71,45,26
2025,5,VILA MEDEIROS,49,27,22
2025,5,VILA PRUDENTE,83,51,32
2025,5,VILA SONIA,77,21,56
2025,6,AGUA RASA,35,20,15
2025,6,ALTO DE PINHEIROS,36,12,24
2025,6,ANHANGUERA,22,10,12
2025,6,ARICANDUVA,34,17,17
2025,6,ARTUR ALVIM,50,23,27
2025,6,BARRA FUNDA,164,58,106
2025,6,BELA VISTA,403,66,337
2025,6,BELEM,94,31,63
2025,6,BOM RETIRO,248,54,195
2025,6,BRAS,346,56,290
2025,6,BRASILANDIA,91,49,42
2025,6,BUTANTA,101,37,64
2025,6,CACHOEIRINHA,67,18,49
2025,6,CAMBUCI,68,16,52
2025,6,CAMPO BELO,63,29,34
2025,6,CAMPO GRANDE,78,47,31
2025,6,CAMPO LIMPO,140,104,36
2025,6,CANGAIBA,44,23,21
2025,6,CAPAO REDONDO,205,158,47
2025,6,CARRAO,38,11,27
2025,6,CASA VERDE,83,31,53
2025,6,CIDADE ADEMAR,97,45,52
2025,6,CIDADE DUTRA,105,58,48
2025,6,CIDADE LIDER,48,27,21
2025,6,CIDADE TIRADENTES,85,55,30
2025,6,CONSOLACAO,588,86,502
2025,6,CURSINO,77,37,40
2025,6,ERMELINO MATARAZZO,39,23,16
2025,6,FREGUESIA DO O,90,39,51
2025,6,GRAJAU,153,89,64
2025,6,GUAIANASES,109,49,60
2025,6,IGUATEMI,41,16,25
2025,6,IPIRANGA,166,68,98
2025,6,ITAIM BIBI,283,86,198
2025,6,ITAIM PAULISTA,99,55,44
2025,6,ITAQUERA,243,71,172
2025,6,JABAQUARA,111,56,55
2025,6,JACANA,46,25,21
2025,6,JAGUARA,26,14,12
2025,6,JAGUARE,26,9,17
2025,6,JARAGUA,72,34,38
2025,6,JARDIM ANGELA,172,146,26
2025,6,JARDIM HELENA,26,13,13
2025,6,JARDIM PAULISTA,205,42,163
2025,6,JARDIM SAO LUIS,193,139,54
2025,6,JOSE BONIFACIO,60,38,22
2025,6,LAJEADO,94,61,33
2025,6,LAPA,149,47,102
2025,6,LIBERDADE,183,26,157
2025,6,LIMAO,91,26,65
2025,6,MANDAQUI,41,26,15
2025,6,MARSILAC,2,2,0
2025,6,MOEMA,120,34,86
2025,6,MOOCA,109,20,89
2025,6,MORUMBI,63,43,20
2025,6,PARELHEIROS,48,27,21
2025,6,PARI,124,40,84
2025,6,PARQUE DO CARMO,49,21,28
2025,6,PEDREIRA,51,38,13
2025,6,PENHA,86,40,46
2025,6,PERDIZES,129,29,100
